"id","negocio","ciudad","direccion","responsable","telefono","instagram","email","web","problema_detectado","canal","primer_contacto","ultimo_seguimiento","siguiente_accion","estado","notas"
"001","Peluquería GLAM Sevilla","Sevilla","Av. Eduardo Dato, 43, 41018 Sevilla","","955 13 93 47","","","https://www.facebook.com/glamsevilla","Sin web propia ni reserva online visible en la ficha; contacto por teléfono o Facebook.","Teléfono","","","Llamar y validar responsable","Cualificado","Google Maps: valoración 4,8; verificado 2026-06-12."
"002","Peluquería y Estética Nervión (Beauty Nervión)","Sevilla","Virgen de Valvanera, 12, 41018 Sevilla","","686 11 15 88","","","","Sin web ni reserva online visible en la ficha; contacto por teléfono.","Teléfono","","","Llamar y validar responsable","Cualificado","Google Maps: valoración 4,8; verificado 2026-06-12."
"003","Pepe Oliver Peluqueros","Sevilla","C. Lionel Carvallo, 0 S N, 41005 Sevilla","","954 63 30 44","","","","Sin web ni reserva online visible en la ficha; contacto por teléfono.","Teléfono","","","Llamar y validar responsable","Cualificado","Google Maps: valoración 4,9; verificado 2026-06-12."
"004","Montenegro Beauty","Sevilla","C. San Bernardo, 16, 41018 Sevilla","","634 29 12 03","https://www.instagram.com/montenegrobeauty/","","","Sin web propia ni reserva online visible en la ficha; contacto por teléfono o Instagram.","Teléfono","","","Llamar y validar responsable","Cualificado","Google Maps: valoración 4,9; verificado 2026-06-12."
"005","Formas Peluquería Y Belleza","Sevilla","Pl. Aviador Ruiz de Alda, 11, 41004 Sevilla","","685 48 90 89","","","","Sin web ni reserva online visible en la ficha; contacto por teléfono.","Teléfono","","","Llamar y validar responsable","Cualificado","Google Maps: valoración 4,9; verificado 2026-06-12."
"006","Henko Estilistas","Sevilla","Av. de la Buhaira, 6, local 10A, 41018 Sevilla","","632 13 72 28","","","","Sin web ni reserva online visible en la ficha; contacto por teléfono.","Teléfono","","","Llamar y validar responsable","Cualificado","Google Maps: valoración 5,0; verificado 2026-06-12."
"007","Salón Capriccio","Sevilla","Av. de la Buhaira, 18, 41018 Sevilla","","692 81 70 85","","","https://www.facebook.com/saloncapricciosevilla/","Sin web propia ni reserva online visible en la ficha; contacto por teléfono o Facebook.","Teléfono","","","Llamar y validar responsable","Cualificado","Google Maps: valoración 4,6; verificado 2026-06-12."
"008","Barbero´s peluquería LUIS MONTOTO","Sevilla","Calle Luis Montoto esquina C. Virgen de la Encarnación, 31, 41018 Sevilla","","678 93 05 34","","","https://www.facebook.com/peluqueriabarberos/","Sin web propia ni reserva online visible en la ficha; contacto por teléfono o Facebook.","Teléfono","","","Llamar y validar responsable","Cualificado","Google Maps: valoración 4,7; verificado 2026-06-12."
"009","MAS QUE GUAPAS SALON DE BELLEZA UNISEX","Sevilla","C/ Marqués del Nervión, 116, 41005 Sevilla","","653 95 42 26","https://www.instagram.com/masqueguapas116","","","Sin web propia ni reserva online visible en la ficha; contacto por teléfono o Instagram.","Teléfono","","","Llamar y validar responsable","Cualificado","Google Maps: valoración 5,0; verificado 2026-06-12."
"010","Yolanda Flores","Sevilla","C. Luis Montoto, 105, local 16, 41007 Sevilla","","955 69 43 86","","","","Sin web ni reserva online visible en la ficha; contacto por teléfono.","Teléfono","","","Llamar y validar responsable","Cualificado","Google Maps: valoración 4,6; verificado 2026-06-12."
"011","Paco Peluquería Caballero y Niños","Sevilla","C/ Marqués del Nervión, 93, 41005 Sevilla","","686 40 31 57","","","","Sin web ni reserva online visible en la ficha; contacto por teléfono.","Teléfono","","","Llamar y validar responsable","Cualificado","Google Maps: valoración 4,8; verificado 2026-06-12."
"012","Barberia 16","Sevilla","C. Aznalcázar, 10, 41005 Sevilla","","615 14 20 51","","","","Sin web ni reserva online visible en la ficha; contacto por teléfono.","Teléfono","","","Llamar y validar responsable","Cualificado","Google Maps: valoración 4,8; verificado 2026-06-12."
"013","BERTO OGÚN Peluquería y Estética.","Sevilla","C. Marqués de Pickman, 16, local Gran Plaza, 41005 Sevilla","","954 65 06 65","","","","Sin web ni reserva online visible en la ficha; contacto por teléfono.","Teléfono","","","Llamar y validar responsable","Cualificado","Google Maps: valoración 4,6; verificado 2026-06-12."
"014","France Manuel Peluqueros","Sevilla","Av. de la Cruz del Campo, 41, 41005 Sevilla","","954 57 48 30","","","","Sin web ni reserva online visible en la ficha; contacto por teléfono.","Teléfono","","","Llamar y validar responsable","Cualificado","Google Maps: valoración 4,7; verificado 2026-06-12."
"015","Centro de Estética Leticia Caballero","Sevilla","C/ Marqués del Nervión, 39, 41005 Sevilla","","650 51 77 82","","","","Sin web ni reserva online visible en la ficha; contacto por teléfono.","Teléfono","","","Llamar y validar responsable","Cualificado","Google Maps: valoración 5,0; verificado 2026-06-12."
"016","Campos & Oliet","Sevilla","Av. de la Cruz del Campo, 33-35, local 5, 41005 Sevilla","","657 14 09 79","","","","Sin web ni reserva online visible en la ficha; contacto por teléfono.","Teléfono","","","Llamar y validar responsable","Cualificado","Google Maps: valoración 4,8; verificado 2026-06-12."
"017","Fany Walter Studio","Sevilla","Av. de la Cruz del Campo, 28, 41005 Sevilla","","617 15 47 82","https://www.instagram.com/fanywalterstudio_/","","","Sin web propia ni reserva online visible en la ficha; contacto por teléfono o Instagram.","Teléfono","","","Llamar y validar responsable","Cualificado","Google Maps: valoración 4,8; verificado 2026-06-12."
"018","Beatriz Reina","Sevilla","Av. de Andalucía, 10, 41005 Sevilla","","955 51 84 74","","","","Sin web ni reserva online visible en la ficha; contacto por teléfono.","Teléfono","","","Llamar y validar responsable","Cualificado","Google Maps: valoración 4,7; verificado 2026-06-12."
"019","Quinta Esencia Estética Integral y Terapias Manuales","Sevilla","Edificio Sevilla 2, Av. San Francisco Javier, 19, semisótano, módulo, 41018 Sevilla","","641 45 66 70","","","","Sin web ni reserva online visible en la ficha; contacto por teléfono.","Teléfono","","","Llamar y validar responsable","Cualificado","Google Maps: valoración 5,0; verificado 2026-06-12."
"020","Fernandez Fitz","Sevilla","Av. San Francisco Javier, 1, 41005 Sevilla","","954 64 04 52","","","","Sin web ni reserva online visible en la ficha; contacto por teléfono.","Teléfono","","","Llamar y validar responsable","Cualificado","Google Maps: valoración 4,8; verificado 2026-06-12."
"021","","Sevilla","","","","","","","","","","","","Nuevo",""
"022","","Sevilla","","","","","","","","","","","","Nuevo",""
"023","","Sevilla","","","","","","","","","","","","Nuevo",""
"024","","Sevilla","","","","","","","","","","","","Nuevo",""
"025","","Sevilla","","","","","","","","","","","","Nuevo",""
"026","","Sevilla","","","","","","","","","","","","Nuevo",""
"027","","Sevilla","","","","","","","","","","","","Nuevo",""
"028","","Sevilla","","","","","","","","","","","","Nuevo",""
"029","","Sevilla","","","","","","","","","","","","Nuevo",""
"030","","Sevilla","","","","","","","","","","","","Nuevo",""
"031","","Sevilla","","","","","","","","","","","","Nuevo",""
"032","","Sevilla","","","","","","","","","","","","Nuevo",""
"033","","Sevilla","","","","","","","","","","","","Nuevo",""
"034","","Sevilla","","","","","","","","","","","","Nuevo",""
"035","","Sevilla","","","","","","","","","","","","Nuevo",""
"036","","Sevilla","","","","","","","","","","","","Nuevo",""
"037","","Sevilla","","","","","","","","","","","","Nuevo",""
"038","","Sevilla","","","","","","","","","","","","Nuevo",""
"039","","Sevilla","","","","","","","","","","","","Nuevo",""
"040","","Sevilla","","","","","","","","","","","","Nuevo",""
"041","","Sevilla","","","","","","","","","","","","Nuevo",""
"042","","Sevilla","","","","","","","","","","","","Nuevo",""
"043","","Sevilla","","","","","","","","","","","","Nuevo",""
"044","","Sevilla","","","","","","","","","","","","Nuevo",""
"045","","Sevilla","","","","","","","","","","","","Nuevo",""
"046","","Sevilla","","","","","","","","","","","","Nuevo",""
"047","","Sevilla","","","","","","","","","","","","Nuevo",""
"048","","Sevilla","","","","","","","","","","","","Nuevo",""
"049","","Sevilla","","","","","","","","","","","","Nuevo",""
"050","","Sevilla","","","","","","","","","","","","Nuevo",""
"051","","Sevilla","","","","","","","","","","","","Nuevo",""
"052","","Sevilla","","","","","","","","","","","","Nuevo",""
"053","","Sevilla","","","","","","","","","","","","Nuevo",""
"054","","Sevilla","","","","","","","","","","","","Nuevo",""
"055","","Sevilla","","","","","","","","","","","","Nuevo",""
"056","","Sevilla","","","","","","","","","","","","Nuevo",""
"057","","Sevilla","","","","","","","","","","","","Nuevo",""
"058","","Sevilla","","","","","","","","","","","","Nuevo",""
"059","","Sevilla","","","","","","","","","","","","Nuevo",""
"060","","Sevilla","","","","","","","","","","","","Nuevo",""
"061","","Sevilla","","","","","","","","","","","","Nuevo",""
"062","","Sevilla","","","","","","","","","","","","Nuevo",""
"063","","Sevilla","","","","","","","","","","","","Nuevo",""
"064","","Sevilla","","","","","","","","","","","","Nuevo",""
"065","","Sevilla","","","","","","","","","","","","Nuevo",""
"066","","Sevilla","","","","","","","","","","","","Nuevo",""
"067","","Sevilla","","","","","","","","","","","","Nuevo",""
"068","","Sevilla","","","","","","","","","","","","Nuevo",""
"069","","Sevilla","","","","","","","","","","","","Nuevo",""
"070","","Sevilla","","","","","","","","","","","","Nuevo",""
"071","","Sevilla","","","","","","","","","","","","Nuevo",""
"072","","Sevilla","","","","","","","","","","","","Nuevo",""
"073","","Sevilla","","","","","","","","","","","","Nuevo",""
"074","","Sevilla","","","","","","","","","","","","Nuevo",""
"075","","Sevilla","","","","","","","","","","","","Nuevo",""
"076","","Sevilla","","","","","","","","","","","","Nuevo",""
"077","","Sevilla","","","","","","","","","","","","Nuevo",""
"078","","Sevilla","","","","","","","","","","","","Nuevo",""
"079","","Sevilla","","","","","","","","","","","","Nuevo",""
"080","","Sevilla","","","","","","","","","","","","Nuevo",""
"081","","Sevilla","","","","","","","","","","","","Nuevo",""
"082","","Sevilla","","","","","","","","","","","","Nuevo",""
"083","","Sevilla","","","","","","","","","","","","Nuevo",""
"084","","Sevilla","","","","","","","","","","","","Nuevo",""
"085","","Sevilla","","","","","","","","","","","","Nuevo",""
"086","","Sevilla","","","","","","","","","","","","Nuevo",""
"087","","Sevilla","","","","","","","","","","","","Nuevo",""
"088","","Sevilla","","","","","","","","","","","","Nuevo",""
"089","","Sevilla","","","","","","","","","","","","Nuevo",""
"090","","Sevilla","","","","","","","","","","","","Nuevo",""
"091","","Sevilla","","","","","","","","","","","","Nuevo",""
"092","","Sevilla","","","","","","","","","","","","Nuevo",""
"093","","Sevilla","","","","","","","","","","","","Nuevo",""
"094","","Sevilla","","","","","","","","","","","","Nuevo",""
"095","","Sevilla","","","","","","","","","","","","Nuevo",""
"096","","Sevilla","","","","","","","","","","","","Nuevo",""
"097","","Sevilla","","","","","","","","","","","","Nuevo",""
"098","","Sevilla","","","","","","","","","","","","Nuevo",""
"099","","Sevilla","","","","","","","","","","","","Nuevo",""
"100","","Sevilla","","","","","","","","","","","","Nuevo",""
